template,A,B,C
"Context: Tracy didn't go home that evening and resisted Riley's attacks.
Question: What does Tracy need to do before this? Answer choices: A. make a new plan, B. Go home and see Riley, C. Find somewhere to go
Answer: Based on social commonsense, the answer is {}",0.8388789766994954,8.114417883269424e-05,0.0007756971380348795
"Context: Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards.
Question: How would you describe Sydney? Answer choices: A. sympathetic, B. like a person who was unable to help, C. incredulous
Answer: Based on social commonsense, the answer is {}",0.976814972686487,0.01838046248438198,1.0439478728194003e-06
"Context: Sasha protected the patients' rights by making new laws regarding cancer drug trials.
Question: What will patients want to do next? Answer choices: A. write new laws, B. get petitions signed, C. live longer
Answer: Based on social commonsense, the answer is {}",0.0003330586358004076,0.9584115474678859,0.026216900996107156
"Context: Jordan was in charge of taking the food on the camping trip and left all the food at home.
Question: How would Jordan feel afterwards? Answer choices: A. horrible that he let his friends down on the camping trip, B. happy that he doesn't need to do the cooking on the trip, C. very proud and accomplished about the camping trip
Answer: Based on social commonsense, the answer is {}",0.9856133157459093,1.2895644916031037e-06,2.889341585143344e-07
"Context: Kendall opened their mouth to speak and what came out shocked everyone.
Question: How would you describe Kendall? Answer choices: A. a very quiet person, B. a very passive person, C. a very aggressive and talkative person
Answer: Based on social commonsense, the answer is {}",0.033604556872612434,0.012284155717928314,0.9217083764315497
"Context: Aubrey never told Riley the answer and Riley was angry.
Question: How would you describe Aubrey? Answer choices: A. rude, B. smug at knowing the answer, C. annoyed at Riley's response
Answer: Based on social commonsense, the answer is {}",0.04728984972805198,0.9431210723264133,0.0002433091989028241
"Context: Kendall's dog was overweight so they walked it five miles.
Question: Why did Kendall do this? Answer choices: A. because it was unhealthy, B. start an exercise regimen, C. because it looked good
Answer: Based on social commonsense, the answer is {}",0.9898310697794444,8.7949048366338e-06,2.159171445292673e-06
"Context: Kendall got a new sports car and could not wait to show friends.
Question: What will Kendall want to do next? Answer choices: A. drive that sports car, B. show off his new sports car, C. clean and wax her legs
Answer: Based on social commonsense, the answer is {}",0.009858436430210721,0.9844785124419566,1.0481854831367473e-06
"Context: Riley layered down their arms with a blanket to keep warm.
Question: What does Riley need to do before this? Answer choices: A. turn on the air conditioner, B. open all the windows, C. get a blanket from the closet
Answer: Based on social commonsense, the answer is {}",6.521762431288673e-07,1.2093795566121552e-05,0.9936820424578778
"Context: Austin knew Quinn intimately and they slept together many times.
Question: Why did Austin do this? Answer choices: A. hated Quinn, B. found QUinn attractive, C. ask Quinn on a date
Answer: Based on social commonsense, the answer is {}",1.673746396331392e-05,0.9642779076249444,4.365738950878807e-05
"Context: Carson kissed Alex gently on the cheek and asked to go to dinner.
Question: What will happen to Carson? Answer choices: A. have a romantic meal, B. go on a date, C. loved
Answer: Based on social commonsense, the answer is {}",0.008495059667885314,0.9811072688131568,2.535209977491033e-05
"Context: Alex walked Robin towards the execution chamber for her last meal.
Question: Why did Alex do this? Answer choices: A. work at the jail, B. So Robin can eat, C. release her
Answer: Based on social commonsense, the answer is {}",0.00028783389433418655,0.9855554412456362,4.799738632986805e-05
"Context: Carson was excited to wake up to attend school.
Question: Why did Carson do this? Answer choices: A. Take the big test, B. Just say hello to friends, C. go to bed early
Answer: Based on social commonsense, the answer is {}",0.002176887880267907,0.9789053513816983,0.00013317200428353854
