template,A,B,C
"Context: Tracy didn't go home that evening and resisted Riley's attacks.
Question: What does Tracy need to do before this? Answer choices: A. make a new plan, B. Go home and see Riley, C. Find somewhere to go.
",0.4220045804977417,0.01742764376103878,0.5592045783996582
"Context: Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards.
Question: How would you describe Sydney? Answer choices: A. sympathetic, B. like a person who was unable to help, C. incredulous.
",0.3846733272075653,0.6105124950408936,0.0034610468428581953
"Context: Sasha protected the patients' rights by making new laws regarding cancer drug trials.
Question: What will patients want to do next? Answer choices: A. write new laws, B. get petitions signed, C. live longer.
",0.0010007070377469063,0.010209235362708569,0.9881203174591064
"Context: Jordan was in charge of taking the food on the camping trip and left all the food at home.
Question: How would Jordan feel afterwards? Answer choices: A. horrible that he let his friends down on the camping trip, B. happy that he doesn't need to do the cooking on the trip, C. very proud and accomplished about the camping trip.
",0.9985837936401367,0.0007644641445949674,0.00043407469638623297
"Context: Kendall opened their mouth to speak and what came out shocked everyone.
Question: How would you describe Kendall? Answer choices: A. a very quiet person, B. a very passive person, C. a very aggressive and talkative person.
",0.005728729534894228,0.002526521682739258,0.9912220239639282
"Context: Aubrey never told Riley the answer and Riley was angry.
Question: How would you describe Aubrey? Answer choices: A. rude, B. smug at knowing the answer, C. annoyed at Riley's response.
",0.9610224962234497,0.019543349742889404,0.01857634074985981
"Context: Kendall's dog was overweight so they walked it five miles.
Question: Why did Kendall do this? Answer choices: A. because it was unhealthy, B. start an exercise regimen, C. because it looked good.
",0.8734833002090454,0.11652638018131256,0.008829397149384022
"Context: Kendall got a new sports car and could not wait to show friends.
Question: What will Kendall want to do next? Answer choices: A. drive that sports car, B. show off his new sports car, C. clean and wax her legs.
",0.06450201570987701,0.9320486783981323,0.002370291855186224
"Context: Riley layered down their arms with a blanket to keep warm.
Question: What does Riley need to do before this? Answer choices: A. turn on the air conditioner, B. open all the windows, C. get a blanket from the closet.
",4.63070027763024e-05,0.00018949565128423274,0.9996353387832642
"Context: Austin knew Quinn intimately and they slept together many times.
Question: Why did Austin do this? Answer choices: A. hated Quinn, B. found QUinn attractive, C. ask Quinn on a date.
",0.00044066100963391364,0.9960559606552124,0.0031363756861537695
"Context: Carson kissed Alex gently on the cheek and asked to go to dinner.
Question: What will happen to Carson? Answer choices: A. have a romantic meal, B. go on a date, C. loved.
",0.38651710748672485,0.5931057929992676,0.018480265513062477
"Context: Alex walked Robin towards the execution chamber for her last meal.
Question: Why did Alex do this? Answer choices: A. work at the jail, B. So Robin can eat, C. release her.
",0.013504047878086567,0.9647189974784851,0.020801477134227753
"Context: Carson was excited to wake up to attend school.
Question: Why did Carson do this? Answer choices: A. Take the big test, B. Just say hello to friends, C. go to bed early.
",0.44103699922561646,0.5436208844184875,0.0125350970774889
